################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.2753900530864530E+02   6.7403027640874325E+02   3.8929749984830789E+02   8.6505308814417390E+01
         1          2   1.1020922323214060E+02   5.5828648389825855E+02   3.2098672622898232E+02   7.2537458017347532E+01
         1          3   8.6598035410226359E+01   4.1327680603740754E+02   2.3644492558971777E+02   5.4875911081257989E+01
         1          4   6.1948934676224376E+01   2.6392631502430203E+02   1.5022032789801355E+02   3.6193909464229449E+01
         1          5   4.0310055937160591E+01   1.4749807422692163E+02   8.1381289542155798E+01   2.0247144117516054E+01
         1          6   5.4468086282383389E+01   4.4448298769765614E+02   2.6000523579734579E+02   5.2457466441727853E+01
         1          7   1.7974420873134044E+01   6.5462423197126228E+01   3.8141504674797048E+01   8.8733776439809358E+00
         1          8   6.8360554169328907E+01   5.7534480385439065E+02   3.2537086913345968E+02   6.7614937869668722E+01
         1          9   6.2864759330334472E+00   2.5933713127955045E+01   1.4806070455607738E+01   2.1880526884592557E+00
         1         10   1.8988889393648756E+00   6.6726557096354746E+00   4.1233687528670604E+00   1.7844616771754887E-01
         1         11   3.7515897441948447E+01   4.1406249572577894E+02   2.0249816948169436E+02   5.7487960892523844E+01
         1         12   5.6936248031642656E+01   2.8549259467617100E+02   1.1325524337804333E+02   5.1590733341835822E+01
         1         13   1.2552446803725156E+01   1.2007806175762410E+02   6.2476542166423265E+01   9.6197866262106757E+00
         1         14   2.7714213831165768E+00   1.7661196800292256E+01   1.0448802976698463E+01   1.2180645541551263E+00
         1         15   9.2975648589144635E+02   2.9059120453904841E+04   1.0018944517278249E+04   4.7720030454370062E+03
         1         16   4.0054822349804394E+03   7.2601027915614453E+04   3.2998258278964116E+04   1.1830674303726139E+04
         1         17   1.7365261077091205E+02   4.7313235848306904E+03   1.2956451852286236E+03   5.2086210926168462E+02
         1         18   2.7825131458000556E+03   3.7885141295102199E+04   1.8849172302533672E+04   5.8691864957266152E+03
         1         19   4.5612942835617813E+00   8.6952101371491028E+02   3.8349575973697063E+02   1.7223672413271447E+02
         1         20   8.1996385871085090E+02   9.1948737625668164E+03   5.0118443587763059E+03   1.3884807432529308E+03
         1         21   6.2780697886006885E+02   1.9030700116570712E+04   6.3508669511883045E+03   3.1541295827791937E+03
         1         22   2.5397685580006664E+03   4.5238904479011020E+04   2.0024595258629488E+04   7.4354953308519407E+03
         1         23   9.9766532833792539E+01   2.9973609227783450E+03   8.8031544406820262E+02   3.2478250303919572E+02
         1         24   1.7438456081114323E+03   2.2789943442996100E+04   1.1215023946508420E+04   3.5401306093373573E+03
         1         25   2.0610828560464993E+00   5.8887583998107618E+02   2.9654197167188505E+02   1.4655890063470414E+02
         1         26   5.0848561609062824E+02   5.2306373126478502E+03   2.8512465261631587E+03   7.8615547247411905E+02
         1         27   3.4258274021324968E+02   9.6965458464081512E+03   3.1061585686812973E+03   1.6599075844441027E+03
         1         28   1.1909367444882687E+03   2.1675398177968775E+04   8.9204151713573392E+03   3.5348167207878050E+03
         1         29   4.0452328059739251E+01   1.4421303592911015E+03   4.9022154822959754E+02   1.5697857868745825E+02
         1         30   8.0729753877774954E+02   1.0024654095288093E+04   4.7910315104076244E+03   1.5448051785820542E+03
         1         31   5.2035358037429857E-01   3.2628107488095566E+02   1.9572227254153898E+02   1.0670791444942977E+02
         1         32   2.3007266036427151E+02   2.0856182931684052E+03   1.1156561098723107E+03   3.0034560942047199E+02
         1         33   1.3835037612019070E+02   3.4174021760604778E+03   1.0574395178945713E+03   6.3356520568913027E+02
         1         34   2.9841852272570361E+02   7.0322713714835736E+03   2.5106992193186838E+03   1.1277317419319184E+03
         1         35   9.1050832217383419E+00   4.9176936399438756E+02   2.0896557721227026E+02   5.5023682352467404E+01
         1         36   2.1774538462532348E+02   2.8988541304728751E+03   1.2353314168708489E+03   4.1496481866316958E+02
         1         37   4.9007206986194353E-02   1.7829300191961599E+02   9.9434252605153830E+01   5.8294820012734370E+01
         1         38   6.3164146448787015E+01   4.7007635439273076E+02   2.4186701643120711E+02   6.0115396801263110E+01
         1         39   3.4843199010417685E+01   7.1424259575259055E+02   2.1337320127657296E+02   1.4552597609668589E+02
         1         40   2.5036847841313534E+01   1.2593984573068826E+03   3.6168317755997862E+02   2.0727048478611488E+02
         1         41   9.6678532366271064E-01   1.2716436113981977E+02   5.8195205412208040E+01   1.1814625126935450E+01
         1         42   2.0789779249461276E+01   4.4883341496375124E+02   1.4990973006652575E+02   5.6803065083071210E+01
         1         43   9.9030986231650507E-04   6.3902752042050800E+01   3.1853357428544658E+01   1.9451578719528907E+01
         1         44   6.7329306830266020E+00   4.6686061358724594E+01   2.1042901382958846E+01   4.4028888428722386E+00
         1         45   1.3292543142486848E+00   8.0277228181396580E+01   1.8691171095148093E+01   1.3287724864280348E+01
         1         46   4.0603829302663835E-01   9.0042617223658326E+01   1.9404073837999707E+01   1.6352405001786167E+01
         1         47   2.9911848641434435E-02   1.8010803598223283E+01   7.3091070240517304E+00   9.5049303456073886E-01
         1         48   3.2109976216207653E-01   2.6843387632497269E+01   5.9624920798492100E+00   3.2487477110740985E+00
         1         49   4.8975416762558600E-06   1.0729274337395900E+01   4.4585809330597890E+00   2.8111059920809653E+00
         1         50   1.3252471201870747E-01   2.2360656992687362E+00   4.7597231302950926E-01   1.4247536890353193E-01
         1         51   4.6733266568955425E-03   2.4931409681736798E+00   3.9825846358694511E-01   2.2775783209066847E-01
         1         52   1.0533787223412729E-03   2.2877279039112430E+00   2.3350124443359299E-01   2.7460015940657284E-01
         1         53   1.0101956082536479E-04   7.5595901618559902E-01   2.1596973428104979E-01   2.8550196540848480E-02
         1         54   2.4127872296345477E-04   5.7739312975537505E-01   4.9275118638912999E-02   4.7998506009552626E-02
         1         55   5.3361812791245186E-09   4.7859280408479610E-01   1.4580492913422635E-01   9.6028776207205485E-02
         1         56   1.2464506792397940E-04   7.5774370956803061E-02   2.1346315181915354E-03   2.9177883231834064E-03
         1         57   3.0641600587569593E-07   9.7403268304977683E-03   7.1556352017805363E-04   2.4507448631668692E-04
         1         58   4.3704236062157443E-08   7.6613895205103503E-03   2.1496307769055612E-04   3.0006460749798552E-04
         1         59   6.7437475695919660E-09   3.7052446991968305E-03   5.0694269087342544E-04   1.4868343586860844E-04
         1         60   9.3382722297742203E-10   2.2219446488114091E-03   3.5879071944792192E-05   6.5970177154303983E-05
         1         61   1.2259545013852143E-13   2.1134510475744289E-03   3.7814169795719028E-04   2.6620004930719441E-04
         1         62   4.4447485203775133E-10   5.3622613755000459E-04   1.6732718111374890E-06   1.1185603779683343E-05
         2          1   1.0694266556140068E+01   5.7748945517276081E+02   2.2012259194501965E+02   6.6182169995822079E+01
         2          2   7.2449422349335908E+00   4.6912458736407871E+02   1.7446943433717570E+02   5.3803832267552032E+01
         2          3   3.7511149812646090E+00   3.3345470422981771E+02   1.1949806988668195E+02   3.8297795828096213E+01
         2          4   1.2591605628424307E+00   1.9314478624488973E+02   6.6233437976515873E+01   2.2265339647251452E+01
         2          5   2.1265495695695247E-01   8.6267218401409949E+01   2.7917851088769275E+01   9.5316847936918290E+00
         2          6   1.6263589900371922E+01   3.9646575849453126E+02   1.8333599221682007E+02   4.6737901602385065E+01
         2          7   1.1613267676140876E-02   3.1736652154347443E+01   9.0669373074648103E+00   2.4575047199896924E+00
         2          8   8.3606903349770629E+00   5.5040742955206110E+02   2.1398270044209804E+02   6.5883203528127794E+01
         2          9   9.1338630158845609E-05   8.1249842498192635E+00   3.1640417122536233E+00   2.3663754830747305E-01
         2         10   2.5096639112660230E-08   1.8111518174167094E+00   1.4867141953907519E+00   5.3103523044639799E-02
         2         11   5.8094415302814995E-01   4.3559936199865518E+02   1.2614091125862932E+02   5.2117964631747640E+01
         2         12   4.4633285517341209E-04   1.4811358330382146E+02   2.2431051110069689E+01   1.1105314425479188E+01
         2         13   3.1098968793493249E-11   1.7261471394185271E+01   3.4724373811688189E+00   2.8230810191872857E-01
         2         14   2.0241574175930879E-26   5.8261751557031145E+00   5.7766035995023293E+00   4.3647439364249210E-02
         2         15   2.0465126916808902E+00   1.4451306600354175E+04   2.3495163395381387E+03   1.5240735728396314E+03
         2         16   2.2027006389843084E+01   5.0804839395526848E+04   1.2010988728477565E+04   6.1063722845282282E+03
         2         17   1.5580108822755576E-02   1.2127044227397105E+03   8.1757416597678031E+01   8.6930174442140000E+01
         2         18   1.7464244587516809E+01   2.8675804375210184E+04   7.6914763343867780E+03   3.5426191517356256E+03
         2         19   4.0156266152917284E-09   1.2715203049860541E+02   1.8199371757209297E+00   4.6619063417667430E+00
         2         20   9.2945758121216944E+00   6.4006750797997884E+03   2.2722990805978829E+03   7.3986912856994593E+02
         2         21   7.7407539102011735E-01   8.2387937217291528E+03   1.3120258675515731E+03   8.8693074285255489E+02
         2         22   8.8930550259596153E+00   2.9690150847037025E+04   6.7930541789515801E+03   3.5881571595568171E+03
         2         23   5.2978028893297859E-03   6.5851012563095207E+02   4.2537203177927125E+01   4.6108739200032531E+01
         2         24   7.1454018535944073E+00   1.6696942149346796E+04   4.3537218421833340E+03   2.0646315408690989E+03
         2         25   1.0787607651783936E-09   7.1733534298854380E+01   8.9805371372066045E-01   2.4173077082583205E+00
         2         26   3.9354919515746740E+00   3.5393640192156809E+03   1.2893430818337708E+03   3.8768335188511304E+02
         2         27   1.5192220754740673E-01   3.5368958556449888E+03   5.0777630939100305E+02   3.6887176917621900E+02
         2         28   1.9406232243815991E+00   1.2299000137443805E+04   2.6934563055704166E+03   1.5072526297982815E+03
         2         29   8.5599050693555359E-04   2.5399042271893171E+02   1.4676053735871077E+01   1.6223220670889990E+01
         2         30   1.5906660665932326E+00   6.8751272182947414E+03   1.7355831894818305E+03   8.5357404893462012E+02
         2         31   1.1815701117914067E-10   2.8957212086437444E+01   2.8106181334958269E-01   8.3882047728543008E-01
         2         32   9.2147303432139804E-01   1.3763553597971829E+03   5.3512133585740753E+02   1.2809481657803721E+02
         2         33   1.0583715748573442E-02   1.0477735823660335E+03   1.1309272328528591E+02   9.2796383991455954E+01
         2         34   1.5953559065028755E-01   3.3189101052689580E+03   6.4686712297232191E+02   3.8350743622563721E+02
         2         35   4.2018023292407123E-05   6.0611469291214455E+01   2.8269442093242261E+00   3.1565709114971043E+00
         2         36   1.3441674208778667E-01   1.6834458389625877E+03   4.3031176599046341E+02   2.1218729508727964E+02
         2         37   3.2549930166125540E-12   7.3285969389100156E+00   4.7399376249711515E-02   1.7562024632389084E-01
         2         38   8.3326481106766062E-02   3.1965821013055967E+02   1.5859866200119373E+02   1.9454217560912475E+01
         2         39   1.4868948355785877E-04   1.7041915902183641E+02   1.1437348201760058E+01   1.1216071749951778E+01
         2         40   2.9044092067027553E-03   5.1970562548680732E+02   8.8231971086399085E+01   4.8354861211238571E+01
         2         41   3.2394303385331769E-07   7.8382078704656202E+00   2.5892985074920821E-01   2.9806924730422402E-01
         2         42   2.5367552031021257E-03   2.5323189739955623E+02   6.5803847373458552E+01   2.6412172888579477E+01
         2         43   1.3168058909737700E-14   8.9603623197483617E-01   4.0585752359053855E-03   2.0261774412666279E-02
         2         44   1.7133375199278318E-03   5.8616269997429320E+01   3.5319973102258054E+01   4.6126478302012925E+00
         2         45   1.6276088130948265E-07   1.2223401947140319E+01   4.5655737925053225E-01   5.3721986786848497E-01
         2         46   4.7062163362043737E-06   4.1071038603781325E+01   7.1702263527570702E+00   2.5573389042834576E+00
         2         47   1.4269322816569237E-10   5.0673318217675001E-01   8.6386468567141179E-03   1.2921600554397070E-02
         2         48   4.2826009767028379E-06   2.1962667110947901E+01   6.1831597598302661E+00   1.3997905958329904E+00
         2         49   3.2519120212701520E-18   3.7326024378704456E-02   1.2332291442356826E-04   8.0223294395566315E-04
         2         50   3.1850791360997076E-06   8.5005771693747896E+00   4.3613612672127626E+00   9.8538774170901822E-01
         2         51   2.3821268240567179E-12   3.4296209257111115E-01   7.3493764329320864E-03   1.0151208075708068E-02
         2         52   1.0700297078647855E-10   1.4014495170867254E+00   1.9538456722740985E-01   4.7112282721920778E-02
         2         53   7.6126869803622305E-16   1.4235237771370177E-02   6.5712453018858792E-05   2.8051811515840565E-04
         2         54   1.0044826066979111E-10   8.5051619317469773E-01   1.7738665630909076E-01   2.8163693300329407E-02
         2         55   4.3942068979178445E-24   5.8090578927711106E-04   5.1521177240487104E-07   5.4041410300584508E-06
         2         56   8.0315096405183346E-11   3.6275942904080677E-01   1.3603947131675695E-01   4.2644741887278889E-02
         2         57   1.8611288152837161E-20   2.7948273525480040E-03   1.4246557974763660E-05   2.9722962113928292E-05
         2         58   1.1118248317940567E-18   7.7221810015791576E-03   4.5687058355533053E-04   1.4191944429820720E-04
         2         59   1.3259922500696704E-24   6.8538609140963270E-05   9.9792426074106298E-08   1.3948225942101698E-06
         2         60   1.0583458013894554E-18   4.8218468489028129E-03   4.2150151739604020E-04   1.1282727261562286E-04
         2         61   3.6511023771253388E-35   4.1414546082502167E-07   1.2931723171183515E-10   2.5653649160366579E-09
         2         62   8.7335039307422936E-19   1.6383094288914542E-03   3.3859323136539797E-04   1.4525403822615449E-04
         3          1   1.7079859747372163E+02   9.1293751187325063E+02   7.3165173233667053E+02   1.2842777712421827E+02
         3          2   1.4281017897640095E+02   7.5017611598383132E+02   6.0471638015343649E+02   1.0583068067386357E+02
         3          3   1.0735180347233523E+02   5.4699143074103449E+02   4.4471288248209169E+02   7.7275416136192931E+01
         3          4   6.9093257708122763E+01   3.3623157779526440E+02   2.7548880805203186E+02   4.7155939622575964E+01
         3          5   3.4637723872344054E+01   1.6322618402466054E+02   1.3213476833100572E+02   2.2039819687650397E+01
         3          6   9.3676997293933155E+01   5.9821126079603550E+02   4.5286973966083116E+02   8.2686984316685638E+01
         3          7   1.1792056442484883E+01   5.4058871904190681E+01   4.1188842637608651E+01   6.5880630038612420E+00
         3          8   1.2358716544874908E+02   7.2163966878064798E+02   5.7320662068635522E+02   1.0730400833908347E+02
         3          9   1.8288844340922736E+00   9.1449677424276619E+00   5.8892045685136463E+00   8.4504798281490467E-01
         3         10   7.2909330910101558E-02   8.4399091198805654E-01   2.2116853149846094E-01   4.4923245281646637E-02
         3         11   1.4205044071609157E+02   7.0462808171408733E+02   5.8754025327178454E+02   1.0140935858582247E+02
         3         12   5.3695915892106285E+01   3.0590372289659814E+02   2.2376286924725744E+02   3.6865897992149392E+01
         3         13   1.3771167884953632E+00   2.6223636940237775E+01   3.8556478155566403E+00   1.2753994708227709E+00
         3         14   1.0348283446294425E-05   7.6643346920464139E-01   3.1555193273478055E-02   8.3090599447177615E-02
         3         15   1.8890965306898106E+03   4.3929601291039704E+04   3.0682271445462819E+04   9.2631863316177169E+03
         3         16   6.7979592152542136E+03   1.1999009824434659E+05   8.4519121210310142E+04   2.2422895715178271E+04
         3         17   1.3039771141735707E+02   6.3374679118529266E+03   4.0164370369784947E+03   1.3990645479158634E+03
         3         18   4.0421511712745687E+03   6.2704440090304422E+04   4.3802509681264251E+04   1.0972161955690261E+04
         3         19   5.7534465425781493E-02   1.0548026648527839E+03   5.8739522681688220E+02   2.1523825019427684E+02
         3         20   1.2648202538906457E+03   1.3852496580416062E+04   9.3568043421776474E+03   1.9631144218684674E+03
         3         21   1.1754964132050989E+03   2.6348127313317957E+04   1.8453790021997960E+04   5.4999700363795564E+03
         3         22   4.1083939205570232E+03   7.2436492728214376E+04   5.1277123202941344E+04   1.3650617421703080E+04
         3         23   6.7673368944907637E+01   3.5460155390264204E+03   2.1981202312918076E+03   7.5643529572708155E+02
         3         24   2.3894656015609598E+03   3.7186283632370418E+04   2.6082422791827197E+04   6.6007207019355683E+03
         3         25   2.5590889440037744E-02   5.3526681684686309E+02   2.9019339477649129E+02   1.0450625519534971E+02
         3         26   7.1088306684953000E+02   7.5397639023820502E+03   5.0848068128532695E+03   1.0771807121863937E+03
         3         27   5.3905188637293406E+02   1.1482709572679238E+04   8.0152043134533887E+03   2.3355355088882052E+03
         3         28   1.8286716323515527E+03   3.1841966926284287E+04   2.2601550446808622E+04   6.0374103764789252E+03
         3         29   2.3822283395950727E+01   1.3208455452778887E+03   7.9017962880150901E+02   2.6545531311235754E+02
         3         30   1.0312747768422134E+03   1.5790695999850379E+04   1.1124810747079624E+04   2.8545946223301903E+03
         3         31   6.4099851566263013E-03   1.6657894035055588E+02   8.5501687108301894E+01   2.9668300033656298E+01
         3         32   2.8484692692158831E+02   2.7021154186132053E+03   1.8199726605930241E+03   3.9061199518694661E+02
         3         33   1.4294140364836565E+02   3.1693956078508149E+03   2.0992620281853865E+03   5.9055432069649282E+02
         3         34   5.0307223854039404E+02   8.5744651254445598E+03   6.0473859629901299E+03   1.6136820057745056E+03
         3         35   5.1020186754515047E+00   2.5388899770912681E+02   1.4408783579990339E+02   4.5938626472618751E+01
         3         36   2.8670814908172412E+02   4.0328876979460319E+03   2.8333306682440339E+03   7.3528806628322570E+02
         3         37   6.2113669744938329E-04   2.5297070062236575E+01   1.0446049101455431E+01   3.3178974992823109E+00
         3         38   7.5976707340936414E+01   4.9641048475931069E+02   3.3591945057986476E+02   7.2347888558117930E+01
         3         39   1.7962226317603747E+01   4.0898134359520145E+02   2.4755174115536067E+02   6.6633401089875420E+01
         3         40   7.0559484848154838E+01   1.1615201772707692E+03   7.2989511546992071E+02   1.9154825243069487E+02
         3         41   5.7217502488720395E-01   1.8359696933032943E+01   9.5263608662263835E+00   2.6986700705567075E+00
         3         42   4.2457815494668644E+01   5.0575873092033009E+02   3.2454722934637067E+02   8.3243520861014730E+01
         3         43   1.2863225200759889E-05   1.4249752500001094E+00   2.9952468009582700E-01   9.1061488491236978E-02
         3         44   6.8253296551983684E+00   3.5835917761917734E+01   2.3749703931825795E+01   4.8036167432810952E+00
         3         45   6.9472401191617661E-01   1.5038601964700975E+01   7.6242927008617007E+00   1.9506566566581509E+00
         3         46   3.2419781484668517E+00   4.4495495627728289E+01   2.2951527261786858E+01   5.6701291789708108E+00
         3         47   1.8458293415363487E-02   4.1942252053489010E-01   1.6474517510298595E-01   3.8861661171198929E-02
         3         48   1.5028489489970915E+00   1.9041302366483063E+01   9.9396779477940491E+00   2.3504667761686662E+00
         3         49   2.1549137963238473E-08   2.7415921575543383E-02   1.0062943401158695E-03   1.0541811004091384E-03
         3         50   1.0293724590879472E-01   2.3210854631093354E+00   5.2970063494819242E-01   2.2164761574591257E-01
         3         51   3.2136462523387043E-03   9.3793171799724184E-02   2.2523164076353949E-02   5.6364428510607203E-03
         3         52   9.6547047301018332E-03   3.5485865333791472E-01   7.2717683153098664E-02   2.1386176956019902E-02
         3         53   5.2799947646756795E-05   3.3665484438870955E-03   3.7524641011912630E-04   8.7232598180494905E-05
         3         54   4.1071311301305599E-03   2.0478196077640548E-01   3.3416049093781458E-02   1.3143100037621477E-02
         3         55   5.5316376110567919E-12   4.1796541543706882E-05   2.4055613595413744E-07   7.1271075086443852E-07
         3         56   9.7972248234797616E-05   7.8452061798917005E-02   4.0157461628195180E-03   6.5250860072961336E-03
         3         57   1.0604721740519788E-07   1.3094289337732323E-04   2.0313052543937722E-06   3.6057080866396458E-06
         3         58   3.4621426228604793E-07   9.5111150218816023E-04   1.5170410957258904E-05   2.8435047855823987E-05
         3         59   2.0713193165197551E-09   3.6590585691583251E-06   2.3916477832382216E-08   4.9690640695373580E-08
         3         60   1.4252803877878798E-07   7.4218219709198485E-04   1.1204135983131793E-05   2.2211257760931595E-05
         3         61   2.1801624245101968E-16   5.8238252514904573E-09   3.8351846855249925E-12   3.6879353198742014E-11
         3         62   1.6295472297203218E-09   3.9402662846616828E-04   6.6998520489243261E-06   1.5404451134776746E-05
