################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.0053987773366995E+02 a         1     0     1     1     1
 -9.9767451099868207E+00 a         2     0     1     1     2
 -2.7115614237880830E+01 a         3     0     1     1     3
  3.1559346606035579E+01 a         4     0     1     1     4
 -9.8989033200475411E+00 a         5     0     1     1     5
 -7.7638955512900818E+00 a         6     0     1     1     6
 -4.5370436997653520E+00 a         7     0     1     1     7
  1.5478351912631668E+01 a         8     0     1     1     8
  4.2649122051501934E+01 a         9     0     1     1     9
  9.0308167547916867E+00 a        10     0     1     1    10
 -1.0620312710485895E+02 a        11     0     1     1    11
  1.2311441579439288E+01 a        12     0     1     1    12
 -4.3795568246366855E+01 a        13     0     1     1    13
  1.0083515548616762E+00 a        14     0     1     1    14
  2.9319190443371301E+01 a        15     0     1     1    15
 -4.5808468750016210E+01 a        16     0     1     1    16
  1.7113546027452770E+01 a        17     0     1     1    17
 -4.4921379568316240E+01 a        18     0     1     1    18
  6.4711060567639986E+00 a        19     0     1     1    19
 -3.0030123867768857E+01 a        20     0     1     1    20
 -2.0610412925543450E+01 a        21     0     1     1    21
  4.1514475774255040E+00 a        22     0     1     1    22
  2.9715476620607846E+00 a        23     0     1     1    23
 -1.5456615128982559E+01 a        24     0     1     1    24
  1.1711123591581227E+01 a        25     0     1     1    25
  4.5754301679680305E+00 a        26     0     1     1    26
 -7.3294417014309001E+00 a        27     0     1     1    27
 -3.7201339868597483E+00 a        28     0     1     1    28
 -6.6826508529527349E+00 a        29     0     1     1    29
  2.7108321421667348E+01 a        30     0     1     1    30
 -3.2234446271216193E+01 a        31     0     2     1     1
  9.4552712009540052E-01 a        32     0     2     1     2
 -9.4024526052779898E+00 a        33     0     2     1     3
 -3.5900767541611867E+00 a        34     0     2     1     4
  1.2404657269972457E+00 a        35     0     2     1     5
  5.5831781407286698E+00 a        36     0     2     1     6
 -4.0405382810678248E+00 a        37     0     2     1     7
  1.8306602957021547E+00 a        38     0     2     1     8
  1.0005708238475972E+01 a        39     0     2     1     9
 -4.0469072876575458E+00 a        40     0     2     1    10
 -1.9266893123774405E+01 a        41     0     2     1    11
 -2.0903489787000815E+00 a        42     0     2     1    12
 -9.8782608147997095E+00 a        43     0     2     1    13
 -1.2882073081575280E+00 a        44     0     2     1    14
  1.6408172056402535E+00 a        45     0     2     1    15
 -1.1024227951793378E+01 a        46     0     2     1    16
 -8.0265177098051907E+00 a        47     0     2     1    17
 -2.7565260123720975E+01 a        48     0     2     1    18
 -1.2223869837138452E+01 a        49     0     2     1    19
  3.8975084223175012E+00 a        50     0     2     1    20
 -8.9301614672845293E+00 a        51     0     2     1    21
